"date","update","ADM1_TH","new_case","total_case","new_death","total_death","ADM1_EN","ADM1_PCODE","Population"
2020-03-31,3,"ลำพูน",2,2,0,0,"Lamphun","TH51",377527
2020-03-31,3,"เลย",2,2,0,0,"Loei","TH42",446635
2020-03-31,3,"ศรีสะเกษ",7,7,0,0,"Si Sa Ket","TH33",723648
2020-03-31,3,"สกลนคร",0,0,0,0,"Sakon Nakhon","TH47",768297
2020-03-31,3,"สงขลา",24,24,0,0,"Songkhla","TH90",1574431
2020-03-31,3,"สตูล",0,0,0,0,"Satun","TH91",270993
2020-03-31,3,"สมุทรปราการ",48,52,0,0,"Samut Prakan","TH11",2968727
2020-03-31,3,"สมุทรสงคราม",0,0,0,0,"Samut Songkhram","TH75",152998
2020-03-31,3,"สมุทรสาคร",8,8,0,0,"Samut Sakhon","TH74",1580413
2020-03-31,3,"สระแก้ว",8,8,0,0,"Sa Kaeo","TH27",565874
2020-03-31,3,"สระบุรี",4,4,0,0,"Saraburi","TH19",802049
2020-03-31,3,"สิงห์บุรี",0,0,0,0,"Sing Buri","TH17",155156
2020-03-31,3,"สุโขทัย",3,3,0,0,"Sukhothai","TH64",596662
2020-03-31,3,"สุพรรณบุรี",2,2,0,0,"Suphan Buri","TH72",748248
2020-03-31,3,"สุราษฎร์ธานี",13,13,0,0,"Surat Thani","TH84",1051922
2020-03-31,3,"สุรินทร์",7,7,0,0,"Surin","TH32",860410
2020-03-31,3,"หนองคาย",1,1,0,0,"Nong Khai","TH43",379636
2020-03-31,3,"หนองบัวลำภู",2,2,0,0,"Nong Bua Lam Phu","TH39",438010
2020-03-31,3,"อ่างทอง",0,0,0,0,"Ang Thong","TH15",216643
2020-03-31,3,"อำนาจเจริญ",1,1,0,0,"Amnat Charoen","TH37",203893
2020-03-31,3,"อุดรธานี",9,9,0,0,"Udon Thani","TH41",1020066
2020-03-31,3,"อุตรดิตถ์",3,3,0,0,"Uttaradit","TH53",371390
2020-03-31,3,"อุทัยธานี",1,1,0,0,"Uthai Thani","TH61",260998
2020-03-31,3,"อุบลราชธานี",13,13,0,0,"Ubon Ratchathani","TH34",1614923
2020-04-30,4,"กระบี่",12,20,0,0,"Krabi","TH81",347995
2020-04-30,4,"กรุงเทพมหานคร",549,1535,17,23,"Bangkok","TH10",10709136
2020-04-30,4,"กาญจนบุรี",1,9,0,0,"Kanchanaburi","TH71",778936
2020-04-30,4,"กาฬสินธุ์",1,3,0,0,"Kalasin","TH46",664356
2020-04-30,4,"กำแพงเพชร",0,0,0,0,"Kamphaeng Phet","TH62",842777
2020-04-30,4,"ขอนแก่น",3,6,0,0,"Khon Kaen","TH40",1630099
2020-04-30,4,"จันทบุรี",0,3,0,0,"Chanthaburi","TH22",442591
2020-04-30,4,"ฉะเชิงเทรา",6,17,1,1,"Chachoengsao","TH24",738516
2020-04-30,4,"ชลบุรี",48,91,2,2,"Chon Buri","TH20",2147385
2020-04-30,4,"ชัยนาท",0,0,0,0,"Chai Nat","TH18",234108
2020-04-30,4,"ชัยภูมิ",1,3,0,0,"Chaiyaphum","TH36",764624
2020-04-30,4,"ชุมพร",20,21,2,2,"Chumphon","TH86",441213
2020-04-30,4,"เชียงราย",3,9,0,0,"Chiang Rai","TH57",1089821
2020-04-30,4,"เชียงใหม่",10,40,1,1,"Chiang Mai","TH50",1809819
2020-04-30,4,"ตรัง",2,7,0,0,"Trang","TH92",540949
2020-04-30,4,"ตราด",0,0,0,0,"Trat","TH23",264085
2020-04-30,4,"ตาก",1,3,0,0,"Tak","TH63",510728
2020-04-30,4,"นครนายก",1,2,0,0,"Nakhon Nayok","TH26",227464
2020-04-30,4,"นครปฐม",7,22,0,0,"Nakhon Pathom","TH73",1028904
2020-04-30,4,"นครพนม",1,2,0,0,"Nakhon Phanom","TH48",449625
2020-04-30,4,"นครราชสีมา",4,19,0,0,"Nakhon Ratchasima","TH30",2368321
2020-04-30,4,"นครศรีธรรมราช",7,12,1,1,"Nakhon Si Thammarat","TH80",1260910
2020-04-30,4,"นครสวรรค์",3,9,0,0,"Nakhon Sawan","TH60",826586
2020-04-30,4,"นนทบุรี",50,158,2,3,"Nonthaburi","TH12",1940476
2020-04-30,4,"นราธิวาส",24,33,0,1,"Narathiwat","TH96",610304
2020-04-30,4,"น่าน",0,0,0,0,"Nan","TH55",402916
2020-04-30,4,"บึงกาฬ",0,0,0,0,"Bueng Kan","TH38",306619
2020-04-30,4,"บุรีรัมย์",3,13,1,1,"Buri Ram","TH31",985709
2020-04-30,4,"ปทุมธานี",21,39,2,2,"Pathum Thani","TH13",2352209
2020-04-30,4,"ประจวบคีรีขันธ์",6,17,2,2,"Prachuap Khiri Khan","TH77",454323
2020-04-30,4,"ปราจีนบุรี",5,8,1,1,"Prachin Buri","TH25",669420
2020-04-30,4,"ปัตตานี",56,91,1,1,"Pattani","TH94",557875
2020-04-30,4,"พระนครศรีอยุธยา",4,4,1,1,"Phra Nakhon Si Ayutthaya","TH14",998279
2020-04-30,4,"พะเยา",1,3,1,1,"Phayao","TH56",313682
2020-04-30,4,"พังงา",2,2,0,0,"Phangnga","TH82",254114
2020-04-30,4,"พัทลุง",8,14,0,0,"Phatthalung","TH93",419456
2020-04-30,4,"พิจิตร",0,0,0,0,"Phichit","TH66",475920
2020-04-30,4,"พิษณุโลก",3,6,0,0,"Phitsanulok","TH65",938009
2020-04-30,4,"เพชรบุรี",1,2,0,0,"Phetchaburi","TH76",456851
2020-04-30,4,"เพชรบูรณ์",0,3,0,0,"Phetchabun","TH67",821626
2020-04-30,4,"แพร่",0,1,0,0,"Phrae","TH54",335189
2020-04-30,4,"ภูเก็ต",154,217,2,2,"Phuket","TH83",962681
2020-04-30,4,"มหาสารคาม",0,1,0,1,"Maha Sarakham","TH44",655502
2020-04-30,4,"มุกดาหาร",0,4,0,0,"Mukdahan","TH49",365780
2020-04-30,4,"แม่ฮ่องสอน",0,5,0,0,"Mae Hong Son","TH58",187041
2020-04-30,4,"ยโสธร",0,1,0,0,"Yasothon","TH35",385065
2020-04-30,4,"ยะลา",86,121,1,2,"Yala","TH95",409580
2020-04-30,4,"ร้อยเอ็ด",0,3,0,0,"Roi Et","TH45",848096
2020-04-30,4,"ระนอง",0,0,0,0,"Ranong","TH85",340692
2020-04-30,4,"ระยอง",1,6,0,0,"Rayong","TH21",1188389
2020-04-30,4,"ราชบุรี",0,7,0,0,"Ratchaburi","TH70",721366
2020-04-30,4,"ลพบุรี",0,2,0,0,"Lop Buri","TH16",718935
2020-04-30,4,"ลำปาง",4,4,0,0,"Lampang","TH52",632799
2020-04-30,4,"ลำพูน",2,4,0,0,"Lamphun","TH51",377527
2020-04-30,4,"เลย",3,5,0,0,"Loei","TH42",446635
2020-04-30,4,"ศรีสะเกษ",1,8,0,0,"Si Sa Ket","TH33",723648
2020-04-30,4,"สกลนคร",1,1,0,0,"Sakon Nakhon","TH47",768297
2020-04-30,4,"สงขลา",81,105,0,0,"Songkhla","TH90",1574431
2020-04-30,4,"สตูล",18,18,0,0,"Satun","TH91",270993
2020-04-30,4,"สมุทรปราการ",60,112,4,4,"Samut Prakan","TH11",2968727
2020-04-30,4,"สมุทรสงคราม",1,1,0,0,"Samut Songkhram","TH75",152998
2020-04-30,4,"สมุทรสาคร",6,14,1,1,"Samut Sakhon","TH74",1580413
2020-04-30,4,"สระแก้ว",2,10,0,0,"Sa Kaeo","TH27",565874
2020-04-30,4,"สระบุรี",1,5,0,0,"Saraburi","TH19",802049
2020-04-30,4,"สิงห์บุรี",0,0,0,0,"Sing Buri","TH17",155156
2020-04-30,4,"สุโขทัย",0,3,0,0,"Sukhothai","TH64",596662
2020-04-30,4,"สุพรรณบุรี",4,6,0,0,"Suphan Buri","TH72",748248
2020-04-30,4,"สุราษฎร์ธานี",5,18,0,0,"Surat Thani","TH84",1051922
2020-04-30,4,"สุรินทร์",2,9,1,1,"Surin","TH32",860410
2020-04-30,4,"หนองคาย",2,3,0,0,"Nong Khai","TH43",379636
2020-04-30,4,"หนองบัวลำภู",1,3,0,0,"Nong Bua Lam Phu","TH39",438010
2020-04-30,4,"อ่างทอง",0,0,0,0,"Ang Thong","TH15",216643
2020-04-30,4,"อำนาจเจริญ",1,2,0,0,"Amnat Charoen","TH37",203893
2020-04-30,4,"อุดรธานี",1,10,0,0,"Udon Thani","TH41",1020066
2020-04-30,4,"อุตรดิตถ์",0,3,0,0,"Uttaradit","TH53",371390
2020-04-30,4,"อุทัยธานี",0,1,0,0,"Uthai Thani","TH61",260998
2020-04-30,4,"อุบลราชธานี",2,15,0,0,"Ubon Ratchathani","TH34",1614923
2020-05-31,5,"กระบี่",0,20,0,0,"Krabi","TH81",347995
2020-05-31,5,"กรุงเทพมหานคร",28,1563,1,24,"Bangkok","TH10",10709136
2020-05-31,5,"กาญจนบุรี",0,9,0,0,"Kanchanaburi","TH71",778936
2020-05-31,5,"กาฬสินธุ์",0,3,0,0,"Kalasin","TH46",664356
2020-05-31,5,"กำแพงเพชร",0,0,0,0,"Kamphaeng Phet","TH62",842777
